"code","itemname","Dataset","Description"
"1","The number of enquiries that trigger an assessment that started during the year","care0013","Adults assessed and care plans reviewed during the year"
"2","Total  enquiries during the year","care0013","Adults assessed and care plans reviewed during the year"
"3","Total number of working days between initial enquiry and care plan completion for all new care plans completed during the year","care0013","Adults assessed and care plans reviewed during the year"
"4","Total number of new care plans completed during the year","care0013","Adults assessed and care plans reviewed during the year"
"7","The number of clients with a care plan at 31 March who had their care plan reviewed as required during the year","care0013","Adults assessed and care plans reviewed during the year"
"8","The number of clients with a care plan at 31 March that should have been reviewed during the year","care0013","Adults assessed and care plans reviewed during the year"
"9","The number of adults assessed during the year who are provided with electronic assistive technology as part of a package of care","care0013","Adults assessed and care plans reviewed during the year"
"10","The number of adults assessed during the year","care0013","Adults assessed and care plans reviewed during the year"
"11","Number of carers identified who were offered an assessment during the year","care0013","Adults assessed and care plans reviewed during the year"
"12","Number of carers identified who had an assessment during the year","care0013","Adults assessed and care plans reviewed during the year"
"13","Number of carers identified who had an assessment in their own right during the year","care0013","Adults assessed and care plans reviewed during the year"
"14","Number of carers identified who were assessed who were provided with a service","care0013","Adults assessed and care plans reviewed during the year"
"15","Number of carers identified who are awaiting an assessment at the end of the year","care0013","Adults assessed and care plans reviewed during the year"
"16","Number of carers identified during the year","care0013","Adults assessed and care plans reviewed during the year"
"5","Total number of working days between initial enquiry and care plan completion for all new care plans completed during the year, including specialist assessments","care0013","Adults assessed and care plans reviewed during the year"
"6","Total number of working days between initial enquiry and care plan completion for all new care plans completed during the year, excluding specialist assessments","care0013","Adults assessed and care plans reviewed during the year"
"17","The number of carers of adults who were offered an assessment or review of their needs in their own right during the year","care0013","Adults assessed and care plans reviewed during the year"
"18","The number of carers of adults","care0013","Adults assessed and care plans reviewed during the year"
"19","The number of carers of adults who had an assessment or review of their needs in their own right during the year","care0013","Adults assessed and care plans reviewed during the year"
"20","The number of carers of adults who were assessed or re-assessed in their own right during the year who were provided with a service","care0013","Adults assessed and care plans reviewed during the year"
"21","The number of new carers of adults who are awaiting an assessment in their own right at the end of the year","care0013","Adults assessed and care plans reviewed during the year"
"22","The number of new carers of adults","care0013","Adults assessed and care plans reviewed during the year"
"14","The total number of working days taken to complete all initial assessments where the number of working days was more than 7","care0020","Children's services: Care plan/assessments summary"
"1","The total number of referrals received during the year","care0020","Children's services: Care plan/assessments summary"
"2","Number of referrals during the year that were re-referrals","care0020","Children's services: Care plan/assessments summary"
"3","Number of all referrals during the year where the child had been on the CPR or who had been looked after during the previous 12 month period","care0020","Children's services: Care plan/assessments summary"
"4","The number of referrals during the year on which a decision was made within 1 working day","care0020","Children's services: Care plan/assessments summary"
"5","The number of referrals received during the year where the decision was to proceed to an initial assessment","care0020","Children's services: Care plan/assessments summary"
"6","The number of referrals that were allocated to a social worker for initial assessment during the year","care0020","Children's services: Care plan/assessments summary"
"7","The number of referrals that were allocated to someone other than a social worker for initial assessment during the year","care0020","Children's services: Care plan/assessments summary"
"8","The number of initial assessments that were completed during the year","care0020","Children's services: Care plan/assessments summary"
"9","The number of initial assessments that were completed during the year where the child has been seen by the Social Worker","care0020","Children's services: Care plan/assessments summary"
"10","The number of initial assessments that were completed during the year where the child has been seen alone by the Social Worker","care0020","Children's services: Care plan/assessments summary"
"11","The number of initial assessments that were completed during the year where the child has been seen by someone other than a Social Worker","care0020","Children's services: Care plan/assessments summary"
"12","The number of initial assessments that were completed during the year where the child has been seen alone by someone other than a  Social Worker","care0020","Children's services: Care plan/assessments summary"
"13","The number of initial assessments completed in fewer than 8 working days","care0020","Children's services: Care plan/assessments summary"
"15","The total number of initial assessments that took longer than 7 working days to complete","care0020","Children's services: Care plan/assessments summary"
"16","The number of initial assessments taking place during the year where ethnicity is recorded","care0020","Children's services: Care plan/assessments summary"
"17","The number of initial assessments taking place during the year where religion is recorded","care0020","Children's services: Care plan/assessments summary"
"18","The number of initial assessments taking place during the year where first language choice is recorded","care0020","Children's services: Care plan/assessments summary"
"21","The number of core assessments that were required during the year","care0020","Children's services: Care plan/assessments summary"
"22","The number of required core assessments completed in fewer than 36 working days during the year","care0020","Children's services: Care plan/assessments summary"
"23","The total number of working days taken to complete all required core assessments where the number of working days was more than 35","care0020","Children's services: Care plan/assessments summary"
"24","The total number of required core assessments that took longer than 35 working days to complete","care0020","Children's services: Care plan/assessments summary"
"25","The number of young carers known to Social Services during the year","care0020","Children's services: Care plan/assessments summary"
"26","The number of young carers known to Social Services who were assessed during the year","care0020","Children's services: Care plan/assessments summary"
"27","The number of young carers known to Social Services who were provided with a service during the year","care0020","Children's services: Care plan/assessments summary"
"33","The number of health assessments for looked after children due in the year that have been undertaken","care0020","Children's services: Care plan/assessments summary"
"34","The number of health assessments for looked after children due to be undertaken in the year","care0020","Children's services: Care plan/assessments summary"
"28","The number of referrals that did not proceed to allocation for initial assessment during the year","care0020","Children's services: Care plan/assessments summary"
"29","Required core assessments that have not yet been completed during the year","care0020","Children's services: Care plan/assessments summary"
"30","Required core assessments that have not yet been completed from previous periods","care0020","Children's services: Care plan/assessments summary"
"31","Required initial assessments that have not yet been completed during the year","care0020","Children's services: Care plan/assessments summary"
"32","Required initial assessments that have not yet been completed from previous periods","care0020","Children's services: Care plan/assessments summary"
"35","The number of initial assessments completed within 7 working days","care0020","Children's services: Care plan/assessments summary"
"36","The total number of working days taken to complete all initial assessments where the number of working days taken was 8 or more","care0020","Children's services: Care plan/assessments summary"
"37","The total number of initial assessments that took 8 days or more to complete","care0020","Children's services: Care plan/assessments summary"
"38","The number of required core assessments completed within 35 working days during the year","care0020","Children's services: Care plan/assessments summary"
"39","The number of core assessments that were completed during the year","care0020","Children's services: Care plan/assessments summary"
"40","The number of initial assessments that were completed during the year where the child has not been seen","care0020","Children's services: Care plan/assessments summary"
"3","The total number of weeks which children spent in local authority foster care or placed for adoption (part of total for 903 placement codes) during the year","care0027","Children's services: Continued care summary"
"2","The gross expenditure on children looked after in local authority foster care","care0027","Children's services: Continued care summary"
"4","The gross expenditure on children looked after in externally purchased foster care","care0027","Children's services: Continued care summary"
"5","The total number of weeks which children spent in externally purchased foster care (SSDA 903 placement codes) during the year","care0027","Children's services: Continued care summary"
"6","The total number of weeks which children spent in externally purchased childrens homes (part of total for 903 placement codes) during the year","care0027","Children's services: Continued care summary"
"7","The gross expenditure on children looked after in local authority childrens homes","care0027","Children's services: Continued care summary"
"9","The gross expenditure on children looked after in externally purchased children's homes","care0027","Children's services: Continued care summary"
"8","The total number of weeks which children spent in local authority children's homes (part of total for 903 placement codes) during the year","care0027","Children's services: Continued care summary"
"10","The gross expenditure on children looked after in secure accommodation","care0027","Children's services: Continued care summary"
"11","The total number of weeks which children spent in secure accommodation (part of total for 903 placement codes) during the year","care0027","Children's services: Continued care summary"
"21","Young people aged 19 who were looked after when aged 16","care0027","Children's services: Continued care summary"
"1","Number of children that become looked after during the year and are still looked after at 31 March","care0027","Children's services: Continued care summary"
"12","Number of children that become looked after during the year and are still looked after at 31 March who are placed at a distance less than 20 miles from their home address","care0027","Children's services: Continued care summary"
"13","Number of children and young people with disabilities who are receiving a service at 31 March","care0027","Children's services: Continued care summary"
"14","Number of children and young people with disabilities who are receiving a service who are receiving direct payments at 31 March","care0027","Children's services: Continued care summary"
"15","Number of children aged 4-5 years at 31 March who had been looked after for at least four years","care0027","Children's services: Continued care summary"
"16","The number of children aged 4-5 years at 31 March who have been looked after continuously for at least 4 years and in their foster placement for at least 2 years","care0027","Children's services: Continued care summary"
"17","Number of children aged 6-10 years at 31 March who had been looked after for at least four years","care0027","Children's services: Continued care summary"
"18","The number of children aged 6-10 years at 31 March who have been looked after continuously for at least 4 years and in their foster placement for at least 2 years","care0027","Children's services: Continued care summary"
"19","Number of children looked after aged 11 years and over at 31 March who had been looked after for at least four years","care0027","Children's services: Continued care summary"
"20","The number of children aged 11 years and over at 31 March who have been looked after continuously for at least 4 years and in their foster placement for at least 2 years","care0027","Children's services: Continued care summary"
"22","Young people aged 19 who were looked after when aged 16, with whom the authority is in contact at age 19","care0027","Children's services: Continued care summary"
"23","Young people aged 19 who were looked after when aged 16, with whom the authority is in contact at age 19 and are known to be in suitable, non emergency accommodation","care0027","Children's services: Continued care summary"
"24","Young people aged 19 who were looked after when aged 16, with whom the authority is in contact at the age of 19 and known to be engaged in education, training or employment","care0027","Children's services: Continued care summary"
"25","Number of eligible, relevant and former relevant children that have a pathway plan at 31 March as required","care0027","Children's services: Continued care summary"
"26","Number of eligible, relevant and former relevant children who should have a pathway plan at 31 March","care0027","Children's services: Continued care summary"
"27","Number of eligible, relevant and former relevant children that have been allocated a personal advisor at 31 March","care0027","Children's services: Continued care summary"
"28","Number of eligible, relevant and former relevant children who should have been allocated a personal advisor at 31 March","care0027","Children's services: Continued care summary"
"1","Nights of respite care provided in Local Authority care homes","care0007","Nights of respite care during the year"
"2","Nights of respite care provided in Independent sector care homes under contract","care0007","Nights of respite care during the year"
"3","Nights of respite care provided in Independent sector care homes under contract, receiving nursing care","care0007","Nights of respite care during the year"
"2","Number hours of homecare provided to clients during the last full week in September (count client hours)","care0008","Hours of homecare during the sample week"
"3","Number hours of homecare provided to clients during the last full week in September (count staff hours)","care0008","Hours of homecare during the sample week"
"1","Number of clients receiving homecare during the last full week in September (count clients)","care0008","Hours of homecare during the sample week"
"2","Hours of homecare provided by the independent sector under contract","care0009","Homecare provided during the year"
"1","Hours of homecare provided by the local authority","care0009","Homecare provided during the year"
"4","Adaptations to property","care0009","Homecare provided during the year"
"3","Other personal equipment","care0009","Homecare provided during the year"
"13","Total","care0012","Delayed transfers of care due to social care reasons"
"2","May","care0012","Delayed transfers of care due to social care reasons"
"3","June","care0012","Delayed transfers of care due to social care reasons"
"4","July","care0012","Delayed transfers of care due to social care reasons"
"5","August","care0012","Delayed transfers of care due to social care reasons"
"7","October","care0012","Delayed transfers of care due to social care reasons"
"10","January","care0012","Delayed transfers of care due to social care reasons"
"12","March","care0012","Delayed transfers of care due to social care reasons"
"1","April","care0012","Delayed transfers of care due to social care reasons"
"6","September","care0012","Delayed transfers of care due to social care reasons"
"8","November","care0012","Delayed transfers of care due to social care reasons"
"9","December","care0012","Delayed transfers of care due to social care reasons"
"11","February","care0012","Delayed transfers of care due to social care reasons"
"1","In touch","care0051","Care leavers on their 19th birthday, by accommodation and activity, year ending 31 March"
"2","Not in touch","care0051","Care leavers on their 19th birthday, by accommodation and activity, year ending 31 March"
"99","All","care0051","Care leavers on their 19th birthday, by accommodation and activity, year ending 31 March"
"00","Not applicable","care0052","Care leavers on their 19th birthday, by activity, year ending 31 March"
"FF","Young person engaged full time in education, training or employment","care0052","Care leavers on their 19th birthday, by activity, year ending 31 March"
"GG","Young person engaged in education, training or employment","care0052","Care leavers on their 19th birthday, by activity, year ending 31 March"
"NN","Young person not in education, employment or training","care0052","Care leavers on their 19th birthday, by activity, year ending 31 March"
"P1","Young person engaged part time in education, training or employment","care0052","Care leavers on their 19th birthday, by activity, year ending 31 March"
"XX","Unknown","care0052","Care leavers on their 19th birthday, by activity, year ending 31 March"
"ZZ","All","care0052","Care leavers on their 19th birthday, by activity, year ending 31 March"
"1","Number of adults who paid the maximum weekly charge towards the cost of care and support or support for carers during the year","care0119","Adults charged for care and support by local authority and measure"
"2","Number of adults who paid a flat rate charge for care and support or support for carers during the year","care0119","Adults charged for care and support by local authority and measure"
"1","Domiciliary care","care0120","Number of adults charged for care and support or support during the year ending 31 March, by local authority, age group and data item"
"2","Day Care","care0120","Number of adults charged for care and support or support during the year ending 31 March, by local authority, age group and data item"
"3","Respite Care","care0120","Number of adults charged for care and support or support during the year ending 31 March, by local authority, age group and data item"
"4","Reablement","care0120","Number of adults charged for care and support or support during the year ending 31 March, by local authority, age group and data item"
"5","Equipment","care0120","Number of adults charged for care and support or support during the year ending 31 March, by local authority, age group and data item"
"6","Adaptations","care0120","Number of adults charged for care and support or support during the year ending 31 March, by local authority, age group and data item"
"7","Direct Payments","care0120","Number of adults charged for care and support or support during the year ending 31 March, by local authority, age group and data item"
"8","Supported Accommodation","care0120","Number of adults charged for care and support or support during the year ending 31 March, by local authority, age group and data item"
"9","Sheltered Accommodation","care0120","Number of adults charged for care and support or support during the year ending 31 March, by local authority, age group and data item"
"10","Adult Placements","care0120","Number of adults charged for care and support or support during the year ending 31 March, by local authority, age group and data item"
"11","Adult care home (without nursing)","care0120","Number of adults charged for care and support or support during the year ending 31 March, by local authority, age group and data item"
"12","Adult care homes with nursing","care0120","Number of adults charged for care and support or support during the year ending 31 March, by local authority, age group and data item"
"13","Telecare","care0120","Number of adults charged for care and support or support during the year ending 31 March, by local authority, age group and data item"
"14","Advocacy","care0120","Number of adults charged for care and support or support during the year ending 31 March, by local authority, age group and data item"
"15","Recreational, leisure and lifelong learning opportunities","care0120","Number of adults charged for care and support or support during the year ending 31 March, by local authority, age group and data item"
"16","Other","care0120","Number of adults charged for care and support or support during the year ending 31 March, by local authority, age group and data item"
"17","Total of services (volume)","care0120","Number of adults charged for care and support or support during the year ending 31 March, by local authority, age group and data item"
"18","Total number of adults supported (count)","care0120","Number of adults charged for care and support or support during the year ending 31 March, by local authority, age group and data item"
"PC_ParSubAlc","Parental substance of alcohol misuse","care0143","Parental factors of children receiving care and support by measure and year, year ending 31 March"
"PC_ParLrnDis","Parental learning disabilities","care0143","Parental factors of children receiving care and support by measure and year, year ending 31 March"
"PC_ParMentIll","Parental mental ill health","care0143","Parental factors of children receiving care and support by measure and year, year ending 31 March"
"PC_ParPhysIll","Parental physical ill health","care0143","Parental factors of children receiving care and support by measure and year, year ending 31 March"
"PC_ParDomAb","Domestic abuse","care0143","Parental factors of children receiving care and support by measure and year, year ending 31 March"
"YthOff","Percentage of children with a case open to the Youth Offending Team","care0144","Youth offending of children receiving care and support by measure and year, year ending 31 March"
"Ed_Abs_Auth","Authorised absence rate","care0145","Education of children receiving care and support at 31 March by child status, gender and local authority"
"Ed_Abs_Unauth","Unauthorised absence rate","care0145","Education of children receiving care and support at 31 March by child status, gender and local authority"
